date,numflights,totaldelay,avgdelay,numdelay15
5/18/1989,2015,9639,-1,197
5/19/1989,2039,23314,2,368
5/20/1989,1963,9336,1,191
5/21/1989,1999,7446,4,108
5/22/1989,2048,4345,-1,81
5/23/1989,2047,5205,4,113
5/24/1989,2017,10136,-1,217
5/25/1989,2024,15281,2,278
5/26/1989,2022,10857,0,204
5/27/1989,1957,5064,-2,125
5/28/1989,1968,2246,-1,76
5/29/1989,2025,8181,5,165
5/30/1989,2049,5740,-3,148
5/31/1989,2016,22539,17,243
2/1/2008,1733,47638,0,722
2/2/2008,1482,22159,-14,398
2/3/2008,1677,31276,-3,451
2/4/2008,1726,43894,-11,607
2/5/2008,1708,42499,-11,546
2/6/2008,1714,24950,-4,426
2/7/2008,1730,18746,18,369
2/8/2008,1734,31206,11,604
2/9/2008,1485,14695,3,297
2/10/2008,1678,23550,17,439
2/11/2008,1728,27019,-7,476
2/12/2008,1708,41592,0,596
2/13/2008,1711,33764,46,519
2/14/2008,1729,27744,-2,470
2/15/2008,1731,31451,0,564
2/16/2008,1427,35716,0,476
2/17/2008,1586,31900,0,511
2/18/2008,1685,41239,21,618
2/19/2008,1710,20956,0,409
2/20/2008,1712,10239,-4,269
2/21/2008,1729,26159,5,502
2/22/2008,1728,30189,7,551
2/23/2008,1483,19622,12,373
2/24/2008,1678,20588,-2,403
2/25/2008,1725,29499,53,496
2/26/2008,1704,26402,0,519
2/27/2008,1714,11735,-3,325
2/28/2008,1730,14835,-3,307
2/29/2008,1733,28621,11,504
8/1/2003,2172,54649,1,608
8/2/2003,1894,36048,-1,646
8/3/2003,2116,56042,-2,685
8/4/2003,2177,43381,4,710
8/5/2003,2169,20973,-3,382
8/6/2003,2170,12739,9,321
8/7/2003,2180,13707,-2,285
8/8/2003,2174,19137,-3,425
8/9/2003,1896,31783,0,615
8/10/2003,2116,9229,1,252
8/11/2003,2176,35235,-5,524
8/12/2003,2167,18728,-5,294
8/13/2003,2171,14739,1,387
8/14/2003,2171,10754,-4,238
8/15/2003,2176,10598,-3,286
8/16/2003,1894,24433,-1,386
8/17/2003,2116,25393,0,403
