state,year,pop1864,pct,,,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,2001,2760170,7.67,,,CA,,TX,,NY,,FL,,IL,,PA,,OH,,GA,,NC,,MI,,NJ,,VA,,WA,,MA,,IN,,TN,,AZ,,MD,,MO,,WI,,CO,,MN,,AL,,SC,,LA,,KY,,OR,,OK,,CT,,PR,,IA,,MS,,AR,,NV,,KS,,UT,,NM,,NE,,WV,,ID,,HI,,NH,,ME,,RI,,MT,,DE,,SD,,AK,,DC,,ND,,VT,,WY,
AL,2002,2770228,8.07,,Row Labels,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct,Sum of pop1864,Sum of pct
FL,2007,11077389,5.29,,2003,22137789,4.32,13729595,3.88,12121207,5.57,10228397,5.21,7871422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,2008,11136272,5.42,,2004,22396509,4.41,13971027,4.04,12203069,5.64,10493881,5.24,7930441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,2009,11284355,5.63,,2005,22604027,4.47,14218624,4.27,12265769,5.7,10758566,5.28,7973467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,2010,11564139,5.63,,2006,22803693,4.5,14552832,4.4,12328947,5.76,10967359,5.27,8032394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,2011,11702916,6.04,,2007,23004656,4.55,14844414,4.53,12407119,5.82,11077389,5.29,8091201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,2012,11805373,6.23,,2008,23277640,4.6,15128980,4.69,12474609,5.95,11136272,5.42,8146995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,2013,11878569,6.23,,2009,23377927,4.69,15347118,4.9,12497615,6.13,11284355,5.63,8138559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,2014,12048169,6.42,,2010,23765508,4.69,15752451,4.9,12451410,6.13,11564139,5.63,8103419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,2015,12048169,6.42,,2011,24021369,4.82,16007914,5.13,12514495,6.41,11702916,6.04,8130367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2001,5386624,4.91,,2012,24201126,4.86,16234269,5.21,12549535,6.49,11805373,6.23,8116753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2002,5491957,4.97,,2013,24365913,4.86,16440040,5.21,12578670,6.49,11878569,6.23,8115187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2003,5582321,5.05,,2014,24656301,4.82,16742263,5.14,12619227,6.43,12048169,6.42,8103573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2004,5703094,5.06,,2015,24656301,4.82,16742263,5.14,12619227,6.43,12048169,6.42,8103573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2005,5803114,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2006,5942009,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2007,6059293,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2008,6155879,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2009,6230605,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2010,6180528,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2011,6247840,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2012,6290121,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2013,6306503,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2014,6352523,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,2015,6352523,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,2001,2566411,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,2002,2585343,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
