year,state,people,,Sum of people,Column Labels,,,,,,,,,,,,,,
1995,AK,1880,,Row Labels,AK,AZ,CA,ID,ME,MI,MN,MT,ND,NM,NY,TX,VT,WA,Grand Total
1995,ND,1686,,,,,,,,,,,,,,,,,
1995,ND,2744,,,,,,,,,,,,,,,,,
1995,ND,6960,,,,,,,,,,,,,,,,,
1995,ND,7440,,,,,,,,,,,,,,,,,
1995,ND,3019,,,,,,,,,,,,,,,,,
1995,ND,58107,,,,,,,,,,,,,,,,,
1995,ND,34135,,,,,,,,,,,,,,,,,
1995,ND,901,,,,,,,,,,,,,,,,,
1995,ND,3045,,,,,,,,,,,,,,,,,
1995,ND,4022,,,,,,,,,,,,,,,,,
1995,ND,4710,,,,,,,,,,,,,,,,,
1995,ND,2087,,,,,,,,,,,,,,,,,
1995,VT,13605,,,,,,,,,,,,,,,,,
1995,VT,127021,,,,,,,,,,,,,,,,,
1995,VT,67659,,,,,,,,,,,,,,,,,
1995,VT,11346,,,,,,,,,,,,,,,,,
1995,VT,24984,,,,,,,,,,,,,,,,,
1995,WA,760209,,,,,,,,,,,,,,,,,
1995,WA,8270,,,,,,,,,,,,,,,,,
1995,WA,13533,,,,,,,,,,,,,,,,,
1995,WA,2268,,,,,,,,,,,,,,,,,
1995,WA,8539,,,,,,,,,,,,,,,,,
1995,WA,8047,,,,,,,,,,,,,,,,,
1995,WA,132926,,,,,,,,,,,,,,,,,
1995,WA,5832,,,,,,,,,,,,,,,,,
1995,WA,1415,,,,,,,,,,,,,,,,,
1995,WA,52446,,,,,,,,,,,,,,,,,
1995,WA,186996,,,,,,,,,,,,,,,,,
1995,WA,255393,,,,,,,,,,,,,,,,,
1995,AZ,375478,,,,,,,,,,,,,,,,,
1995,AZ,87347,,,,,,,,,,,,,,,,,
1995,AZ,60897,,,,,,,,,,,,,,,,,
1995,AZ,1116177,,,,,,,,,,,,,,,,,
1995,AZ,5192,,,,,,,,,,,,,,,,,
1995,AZ,778826,,,,,,,,,,,,,,,,,
1995,CA,345576,,,,,,,,,,,,,,,,,
1995,CA,2343023,,,,,,,,,,,,,,,,,
1995,CA,955133,,,,,,,,,,,,,,,,,
1995,CA,318215,,,,,,,,,,,,,,,,,
1995,NM,40673,,,,,,,,,,,,,,,,,
1995,TX,1553271,,,,,,,,,,,,,,,,,
1995,TX,401978,,,,,,,,,,,,,,,,,
1995,TX,551027,,,,,,,,,,,,,,,,,
1995,TX,3537563,,,,,,,,,,,,,,,,,
1995,TX,170394,,,,,,,,,,,,,,,,,
1995,TX,1978036,,,,,,,,,,,,,,,,,
1995,TX,1447931,,,,,,,,,,,,,,,,,
1995,TX,124965,,,,,,,,,,,,,,,,,
1995,TX,354054,,,,,,,,,,,,,,,,,
1995,TX,150360,,,,,,,,,,,,,,,,,
1995,TX,380615,,,,,,,,,,,,,,,,,
1995,TX,3480561,,,,,,,,,,,,,,,,,
1995,AK,4620,,,,,,,,,,,,,,,,,
1995,AK,2848,,,,,,,,,,,,,,,,,
1995,AK,4915,,,,,,,,,,,,,,,,,
1995,ID,16620,,,,,,,,,,,,,,,,,
1995,ID,29890,,,,,,,,,,,,,,,,,
1995,ME,36481,,,,,,,,,,,,,,,,,
1995,ME,282485,,,,,,,,,,,,,,,,,
1995,ME,49287,,,,,,,,,,,,,,,,,
1995,ME,56980,,,,,,,,,,,,,,,,,
1995,ME,92330,,,,,,,,,,,,,,,,,
1995,ME,24021,,,,,,,,,,,,,,,,,
1995,ME,9562,,,,,,,,,,,,,,,,,
1995,ME,160499,,,,,,,,,,,,,,,,,
1995,ME,68803,,,,,,,,,,,,,,,,,
1995,ME,7979,,,,,,,,,,,,,,,,,
1995,MI,1662920,,,,,,,,,,,,,,,,,
1995,MI,423306,,,,,,,,,,,,,,,,,
1995,MI,375891,,,,,,,,,,,,,,,,,
1995,MN,36967,,,,,,,,,,,,,,,,,
1995,MN,62003,,,,,,,,,,,,,,,,,
1995,MN,98653,,,,,,,,,,,,,,,,,
1995,MN,9949,,,,,,,,,,,,,,,,,
1995,MN,1240,,,,,,,,,,,,,,,,,
1995,MN,6851,,,,,,,,,,,,,,,,,
1995,MN,16467,,,,,,,,,,,,,,,,,
1995,MT,5322,,,,,,,,,,,,,,,,,
1995,MT,807,,,,,,,,,,,,,,,,,
1995,MT,942,,,,,,,,,,,,,,,,,
1995,MT,12555,,,,,,,,,,,,,,,,,
1995,MT,7373,,,,,,,,,,,,,,,,,
1995,MT,20730,,,,,,,,,,,,,,,,,
1995,MT,1695,,,,,,,,,,,,,,,,,
1995,MT,60667,,,,,,,,,,,,,,,,,
1995,MT,1301,,,,,,,,,,,,,,,,,
1995,MT,698,,,,,,,,,,,,,,,,,
1995,MT,287,,,,,,,,,,,,,,,,,
1995,NY,119437,,,,,,,,,,,,,,,,,
1995,NY,1188424,,,,,,,,,,,,,,,,,
1995,NY,344469,,,,,,,,,,,,,,,,,
1995,NY,246139,,,,,,,,,,,,,,,,,
1995,NY,66112,,,,,,,,,,,,,,,,,
1995,NY,40180,,,,,,,,,,,,,,,,,
1995,ND,1215,,,,,,,,,,,,,,,,,
1995,ND,1994,,,,,,,,,,,,,,,,,
1995,ND,1942,,,,,,,,,,,,,,,,,
1995,ND,8976,,,,,,,,,,,,,,,,,
1995,ND,3527,,,,,,,,,,,,,,,,,
1995,ND,1397,,,,,,,,,,,,,,,,,
1995,ND,2490,,,,,,,,,,,,,,,,,
1995,ND,3709,,,,,,,,,,,,,,,,,
