year,state,percent insured,,Sum of percent insured,Column Labels,,,,,,State,2008,2009,2010,2012,2013,,
2010,Florida,74.7,,,,,,,,,,,,,,,,
2010,Georgia,78.1,,,,,,,,,,,,,,,,
2010,Hawaii,91.1,,,,,,,,,,,,,,,,
2010,Idaho,79.7,,,,,,,,,,,,,,,,
2010,Illinois,84.4,,,,,,,,,,,,,,,,
2010,Indiana,83,,,,,,,,,,,,,,,,
2010,Iowa,89.3,,,,,,,,,,,,,,,,
2010,Kansas,84.2,,,,,,,,,,,,,,,,
2010,Kentucky,82.5,,,,,,,,,,,,,,,,
2010,Louisiana,79.5,,,,,,,,,,,,,,,,
2010,Maine,87.8,,,,,,,,,,,,,,,,
2010,Maryland,87.3,,,,,,,,,,,,,,,,
2010,Massachusetts,94.8,,,,,,,,,,,,,,,,
2010,Michigan,85.7,,,,,,,,,,,,,,,,
2010,Minnesota,89.7,,,,,,,,,,,,,,,,
2010,Mississippi,79,,,,,,,,,,,,,,,,
2010,Missouri,84.7,,,,,,,,,,,,,,,,
2010,Montana,79.3,,,,,,,,,,,,,,,,
2010,Nebraska,86.6,,,,,,,,,,,,,,,,
2010,Nevada,74.9,,,,,,,,,,,,,,,,
2010,New Hampshire,87,,,,,,,,,,,,,,,,
2010,New Jersey,85,,,,,,,,,,,,,,,,
2010,New Mexico,77.4,,,,,,,,,,,,,,,,
2010,New York,86.3,,,,,,,,,,,,,,,,
2010,North Carolina,80.9,,,,,,,,,,,,,,,,
2010,North Dakota,88.6,,,,,,,,,,,,,,,,
2010,Ohio,85.7,,,,,,,,,,,,,,,,
2010,Oklahoma,78.1,,,,,,,,,,,,,,,,
2010,Oregon,80.3,,,,,,,,,,,,,,,,
2010,Pennsylvania,87.9,,,,,,,,,,,,,,,,
2010,Rhode Island,86.2,,,,,,,,,,,,,,,,
2010,South Carolina,79.7,,,,,,,,,,,,,,,,
2010,South Dakota,86.1,,,,,,,,,,,,,,,,
2010,Tennessee,83.4,,,,,,,,,,,,,,,,
2010,Texas,73.7,,,,,,,,,,,,,,,,
2010,Utah,83.3,,,,,,,,,,,,,,,,
2010,Vermont,90.3,,,,,,,,,,,,,,,,
2010,Virginia,85.2,,,,,,,,,,,,,,,,
2010,Washington,83.9,,,,,,,,,,,,,,,,
2010,West Virginia,82.6,,,,,,,,,,,,,,,,
2010,Wisconsin,89.2,,,,,,,,,,,,,,,,
2010,Wyoming,82.7,,,,,,,,,,,,,,,,
2012,Alabama,84.2,,,,,,,,,,,,,,,,
2012,Alaska,77.7,,,,,,,,,,,,,,,,
2012,Arizona,79.6,,,,,,,,,,,,,,,,
2012,Arkansas,80.6,,,,,,,,,,,,,,,,
